FIPS;Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key
45001;Abbeville;South Carolina;US;24/03/2020 23:37;3422333378;-8246170658;1;0;0;0;Abbeville, South Carolina, US
22001;Acadia;Louisiana;US;24/03/2020 23:37;3,02951E+16;-9241419698;2;0;0;0;Acadia, Louisiana, US
51001;Accomack;Virginia;US;24/03/2020 23:37;3776707161;-7563234615;1;0;0;0;Accomack, Virginia, US
16001;Ada;Idaho;US;24/03/2020 23:37;434526575;-1,16242E+16;19;0;0;0;Ada, Idaho, US
19001;Adair;Iowa;US;24/03/2020 23:37;4133075609;-9447105874;1;0;0;0;Adair, Iowa, US
21001;Adair;Kentucky;US;24/03/2020 23:37;3710459774;-8528129668;0;0;0;0;Adair, Kentucky, US
29001;Adair;Missouri;US;24/03/2020 23:37;4019058551;-9260078167;1;0;0;0;Adair, Missouri, US
40001;Adair;Oklahoma;US;24/03/2020 23:37;3588494195;-9465859267;0;0;0;0;Adair, Oklahoma, US
8001;Adams;Colorado;US;24/03/2020 23:37;3987432092;-1043362578;25;0;0;0;Adams, Colorado, US
16003;Adams;Idaho;US;24/03/2020 23:37;4489333571;-1164545247;0;0;0;0;Adams, Idaho, US
17001;Adams;Illinois;US;24/03/2020 23:37;3998815591;-9118786813;1;0;0;0;Adams, Illinois, US
18001;Adams;Indiana;US;24/03/2020 23:37;407457653;-8493671406;1;0;0;0;Adams, Indiana, US
19003;Adams;Iowa;US;24/03/2020 23:37;4102903567;-9469932645;0;0;0;0;Adams, Iowa, US
28001;Adams;Mississippi;US;24/03/2020 23:37;3147669768;-9135326037;2;0;0;0;Adams, Mississippi, US
31001;Adams;Nebraska;US;24/03/2020 23:37;4,05245E+15;-9850117804;1;0;0;0;Adams, Nebraska, US
38001;Adams;North Dakota;US;24/03/2020 23:37;4609686891;-1025285397;0;0;0;0;Adams, North Dakota, US
39001;Adams;Ohio;US;24/03/2020 23:37;3884541072;-834718964;0;0;0;0;Adams, Ohio, US
42001;Adams;Pennsylvania;US;24/03/2020 23:37;3987140411;-7721610347;6;0;0;0;Adams, Pennsylvania, US
53001;Adams;Washington;US;24/03/2020 23:37;4698299757;-1,1856E+16;1;0;0;0;Adams, Washington, US
55001;Adams;Wisconsin;US;24/03/2020 23:37;4396974651;-8976782777;0;0;0;0;Adams, Wisconsin, US
50001;Addison;Vermont;US;24/03/2020 23:37;4403217337;-7314130877;8;0;0;0;Addison, Vermont, US
45003;Aiken;South Carolina;US;24/03/2020 23:37;3354338026;-8163645384;2;0;0;0;Aiken, South Carolina, US
27001;Aitkin;Minnesota;US;24/03/2020 23:37;4660962049;-9,34117E+15;0;0;0;0;Aitkin, Minnesota, US
12001;Alachua;Florida;US;24/03/2020 23:37;2967866525;-8235928158;37;0;0;0;Alachua, Florida, US
37001;Alamance;North Carolina;US;24/03/2020 23:37;360434701;-7939976137;3;0;0;0;Alamance, North Carolina, US
6001;Alameda;California;US;24/03/2020 23:37;3764629437;-1218929271;135;2;0;0;Alameda, California, US
8003;Alamosa;Colorado;US;24/03/2020 23:37;3757250606;-1057885451;0;0;0;0;Alamosa, Colorado, US
36001;Albany;New York;US;24/03/2020 23:37;4260060306;-7397723916;146;0;0;0;Albany, New York, US
56001;Albany;Wyoming;US;24/03/2020 23:37;4165498705;-1,05724E+16;0;0;0;0;Albany, Wyoming, US
51003;Albemarle;Virginia;US;24/03/2020 23:37;3802080697;-7855481085;2;0;0;0;Albemarle, Virginia, US
28003;Alcorn;Mississippi;US;24/03/2020 23:37;3488084463;-8857996173;0;0;0;0;Alcorn, Mississippi, US
2013;Aleutians East;Alaska;US;24/03/2020 23:37;5532222414;-1619722021;0;0;0;0;Aleutians East, Alaska, US
2016;Aleutians West;Alaska;US;24/03/2020 23:37;5272541116;-1104086433;0;0;0;0;Aleutians West, Alaska, US
17003;Alexander;Illinois;US;24/03/2020 23:37;3718049267;-8932910838;0;0;0;0;Alexander, Illinois, US
37003;Alexander;North Carolina;US;24/03/2020 23:37;3,59224E+16;-8117751948;0;0;0;0;Alexander, North Carolina, US
51510;Alexandria;Virginia;US;24/03/2020 23:37;38814003;-7708183073;8;0;0;0;Alexandria, Virginia, US
40003;Alfalfa;Oklahoma;US;24/03/2020 23:37;3673090616;-9832408495;0;0;0;0;Alfalfa, Oklahoma, US
26003;Alger;Michigan;US;24/03/2020 23:37;4641292944;-8660260122;0;0;0;0;Alger, Michigan, US
19005;Allamakee;Iowa;US;24/03/2020 23:37;4328383218;-9137860922;6;0;0;0;Allamakee, Iowa, US
26005;Allegan;Michigan;US;24/03/2020 23:37;4259147037;-8589102866;1;0;0;0;Allegan, Michigan, US
24001;Allegany;Maryland;US;24/03/2020 23:37;3962357628;-7869280486;0;0;0;0;Allegany, Maryland, US
36003;Allegany;New York;US;24/03/2020 23:37;4225748406;-7802750466;2;0;0;0;Allegany, New York, US
37005;Alleghany;North Carolina;US;24/03/2020 23:37;3649360862;-8112857041;0;0;0;0;Alleghany, North Carolina, US
51005;Alleghany;Virginia;US;24/03/2020 23:37;3778636074;-8000222498;0;0;0;0;Alleghany, Virginia, US
42003;Allegheny;Pennsylvania;US;24/03/2020 23:37;4046809875;-7998167747;58;2;0;0;Allegheny, Pennsylvania, US
18003;Allen;Indiana;US;24/03/2020 23:37;4109194313;-8506800636;7;1;0;0;Allen, Indiana, US
20001;Allen;Kansas;US;24/03/2020 23:37;3788582951;-9530030847;0;0;0;0;Allen, Kansas, US
21003;Allen;Kentucky;US;24/03/2020 23:37;3675197631;-8619457544;0;0;0;0;Allen, Kentucky, US
22003;Allen;Louisiana;US;24/03/2020 23:37;3065385745;-9282442028;2;0;0;0;Allen, Louisiana, US
39003;Allen;Ohio;US;24/03/2020 23:37;4077285242;-8410802343;0;0;0;0;Allen, Ohio, US
45005;Allendale;South Carolina;US;24/03/2020 23:37;3298837386;-8135321066;0;0;0;0;Allendale, South Carolina, US
26007;Alpena;Michigan;US;24/03/2020 23:37;4503477666;-8362212411;0;0;0;0;Alpena, Michigan, US
6003;Alpine;California;US;24/03/2020 23:37;3859678594;-1,19822E+16;0;0;0;0;Alpine, California, US
6005;Amador;California;US;24/03/2020 23:37;3844583082;-1,20657E+16;2;0;0;0;Amador, California, US
51007;Amelia;Virginia;US;24/03/2020 23:37;3734081025;-7798584649;0;0;0;0;Amelia, Virginia, US
51009;Amherst;Virginia;US;24/03/2020 23:37;3760308293;-7914548696;1;0;0;0;Amherst, Virginia, US
28005;Amite;Mississippi;US;24/03/2020 23:37;3117467303;-9080501621;0;0;0;0;Amite, Mississippi, US
2020;Anchorage;Alaska;US;24/03/2020 23:37;6114998174;-1,49143E+16;17;0;0;0;Anchorage, Alaska, US
20003;Anderson;Kansas;US;24/03/2020 23:37;3821413251;-9529272815;0;0;0;0;Anderson, Kansas, US
21005;Anderson;Kentucky;US;24/03/2020 23:37;3800671029;-8499171713;2;1;0;0;Anderson, Kentucky, US
45007;Anderson;South Carolina;US;24/03/2020 23:37;3451828081;-8263959517;16;0;0;0;Anderson, South Carolina, US
47001;Anderson;Tennessee;US;24/03/2020 23:37;3612684348;-8419965764;1;0;0;0;Anderson, Tennessee, US
48001;Anderson;Texas;US;24/03/2020 23:37;3181534745;-9565354823;0;0;0;0;Anderson, Texas, US
29003;Andrew;Missouri;US;24/03/2020 23:37;3998492163;-9480163024;0;0;0;0;Andrew, Missouri, US
48003;Andrews;Texas;US;24/03/2020 23:37;3230468633;-1,02638E+16;0;0;0;0;Andrews, Texas, US
23001;Androscoggin;Maine;US;24/03/2020 23:37;441664747;-7020380627;3;0;0;0;Androscoggin, Maine, US
48005;Angelina;Texas;US;24/03/2020 23:37;3125457347;-9460901487;0;0;0;0;Angelina, Texas, US
24003;Anne Arundel;Maryland;US;24/03/2020 23:37;3900670238;-7660329337;24;0;0;0;Anne Arundel, Maryland, US
27003;Anoka;Minnesota;US;24/03/2020 23:37;4527476015;-9324604565;7;0;0;0;Anoka, Minnesota, US
37007;Anson;North Carolina;US;24/03/2020 23:37;3497403241;-8009953279;0;0;0;0;Anson, North Carolina, US
31003;Antelope;Nebraska;US;24/03/2020 23:37;4217695516;-9,80666E+15;0;0;0;0;Antelope, Nebraska, US
26009;Antrim;Michigan;US;24/03/2020 23:37;4499690221;-8515503082;0;0;0;0;Antrim, Michigan, US
4001;Apache;Arizona;US;24/03/2020 23:37;3539465006;-1094892383;4;0;0;0;Apache, Arizona, US
19007;Appanoose;Iowa;US;24/03/2020 23:37;4074324454;-9286865906;0;0;0;0;Appanoose, Iowa, US
13001;Appling;Georgia;US;24/03/2020 23:37;3174847232;-8228909114;0;0;0;0;Appling, Georgia, US
51011;Appomattox;Virginia;US;24/03/2020 23:37;3737569884;-7881340003;0;0;0;0;Appomattox, Virginia, US
48007;Aransas;Texas;US;24/03/2020 23:37;2810556197;-969995047;0;0;0;0;Aransas, Texas, US
8005;Arapahoe;Colorado;US;24/03/2020 23:37;3964977461;-1043353617;58;0;0;0;Arapahoe, Colorado, US
48009;Archer;Texas;US;24/03/2020 23:37;3361569967;-9868754589;0;0;0;0;Archer, Texas, US
8007;Archuleta;Colorado;US;24/03/2020 23:37;3719474156;-1,07048E+16;0;0;0;0;Archuleta, Colorado, US
26011;Arenac;Michigan;US;24/03/2020 23:37;440636262;-8389277559;0;0;0;0;Arenac, Michigan, US
5001;Arkansas;Arkansas;US;24/03/2020 23:37;3429145151;-9137277296;0;0;0;0;Arkansas, Arkansas, US
51013;Arlington;Virginia;US;24/03/2020 23:37;388767675;-7710139853;36;0;0;0;Arlington, Virginia, US
42005;Armstrong;Pennsylvania;US;24/03/2020 23:37;4081665618;-7946290811;1;0;0;0;Armstrong, Pennsylvania, US
48011;Armstrong;Texas;US;24/03/2020 23:37;3496507426;-1,01357E+16;0;0;0;0;Armstrong, Texas, US
